epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,220.139,2.22333,8.86179,2.98995,0.01402,0.72938,0.10773,0.07884,1.78443,12.1474,2.89438,0.00015453,0.00015453,0.00015453
2,419.817,2.20734,7.76402,2.82381,0.00964,0.89672,0.16712,0.12008,1.82767,11.9556,2.84831,0.000311851,0.000311851,0.000311851
3,619.122,2.2282,7.14537,2.89341,0.00725,0.88806,0.15341,0.09939,2.13234,11.6721,3.14841,0.000462692,0.000462692,0.000462692
4,816.712,2.30314,6.78225,2.8982,0.00738,0.8853,0.13994,0.09021,2.62466,11.666,3.63729,0.000607054,0.000607054,0.000607054
5,1018.71,2.33533,6.73214,2.99509,0.72578,0.14929,0.18098,0.1112,2.70845,11.2839,3.87708,0.000744936,0.000744936,0.000744936
6,1220.46,2.53504,6.28983,3.04197,0.56772,0.11579,0.12429,0.0714,2.62167,10.7986,3.73866,0.000819009,0.000819009,0.000819009
7,1418.2,2.43053,6.16799,2.97788,0.55271,0.18436,0.18573,0.111,2.88573,10.7399,3.6897,0.000801011,0.000801011,0.000801011
8,1615.39,2.39639,5.66516,2.89453,0.73732,0.12721,0.19146,0.10418,2.95524,9.81238,4.04269,0.000783013,0.000783013,0.000783013
9,1817.6,2.4148,5.44001,2.88256,0.24245,0.28839,0.26463,0.15587,2.94187,10.3087,3.76454,0.000765014,0.000765014,0.000765014
10,2014.88,2.46169,5.33771,2.95676,0.27691,0.20877,0.25605,0.15656,2.54494,9.51178,3.52853,0.000747016,0.000747016,0.000747016
11,2217.11,2.3466,5.22317,2.84012,0.46321,0.3388,0.34442,0.20166,2.44499,9.63788,3.46631,0.000729018,0.000729018,0.000729018
12,2415.62,2.40873,5.05141,2.89656,0.29991,0.35488,0.31049,0.20103,2.45047,7.75387,3.24778,0.00071102,0.00071102,0.00071102
13,2620.7,2.20479,4.89361,2.78776,0.57869,0.19183,0.28564,0.16943,2.82375,8.40043,3.67355,0.000693022,0.000693022,0.000693022
14,2861.84,2.27867,4.84649,2.81095,0.2913,0.27167,0.21995,0.13829,2.5133,8.46644,3.38602,0.000675023,0.000675023,0.000675023
15,3080.38,2.31728,4.72269,2.82742,0.36763,0.39506,0.34609,0.2192,2.59358,7.65364,3.48889,0.000657025,0.000657025,0.000657025
16,3287.84,2.20263,4.48777,2.7279,0.38042,0.41648,0.35678,0.2398,2.58424,6.99448,3.48479,0.000639027,0.000639027,0.000639027
17,3486.76,2.2505,4.31602,2.76049,0.4105,0.42039,0.39173,0.25694,2.45756,6.73076,3.42865,0.000621029,0.000621029,0.000621029
18,3695.04,2.24706,4.23284,2.75017,0.43779,0.39696,0.36791,0.25114,2.50876,6.64594,3.44945,0.000603031,0.000603031,0.000603031
19,3897.47,2.12723,4.09423,2.67697,0.40452,0.35497,0.39345,0.27244,2.4775,6.49948,3.39582,0.000585032,0.000585032,0.000585032
20,4100.59,2.23332,3.86401,2.71702,0.43254,0.38705,0.40128,0.27697,2.4518,6.46863,3.30924,0.000567034,0.000567034,0.000567034
21,4306.85,2.1236,3.82255,2.66782,0.34994,0.41295,0.36733,0.24499,2.54462,6.69868,3.37713,0.000549036,0.000549036,0.000549036
22,4513.91,2.12434,3.78828,2.66355,0.4001,0.45169,0.38715,0.25495,2.50726,6.19769,3.41908,0.000531038,0.000531038,0.000531038
23,4708.22,2.05993,3.49168,2.58483,0.35172,0.46061,0.36434,0.24933,2.3761,6.34334,3.18319,0.00051304,0.00051304,0.00051304
24,4901.58,2.15123,3.66323,2.65615,0.40625,0.44885,0.38268,0.24999,2.41391,5.97163,3.32244,0.000495041,0.000495041,0.000495041
25,5094.69,1.96309,3.60409,2.56965,0.57097,0.34988,0.41512,0.24007,2.77884,6.13932,3.42408,0.000477043,0.000477043,0.000477043
26,5311.87,2.0897,3.47434,2.68383,0.52116,0.42841,0.45198,0.32025,2.31016,5.81469,3.13417,0.000459045,0.000459045,0.000459045
27,5514.11,1.96952,3.28524,2.59052,0.47165,0.46613,0.48944,0.32283,2.45931,5.48961,3.29397,0.000441047,0.000441047,0.000441047
28,5717.36,2.08316,3.23687,2.63179,0.42094,0.48079,0.42686,0.28398,2.18924,5.61959,3.09979,0.000423049,0.000423049,0.000423049
29,5923.8,2.04004,3.11718,2.56123,0.56693,0.43846,0.45741,0.30371,2.31046,5.21891,3.20406,0.00040505,0.00040505,0.00040505
30,6126.31,2.01027,3.15973,2.56225,0.49833,0.3902,0.42688,0.28741,2.3022,5.53702,3.19606,0.000387052,0.000387052,0.000387052
31,6328.65,1.99693,3.07367,2.53553,0.42856,0.49436,0.44317,0.28967,2.16446,5.69283,3.08088,0.000369054,0.000369054,0.000369054
32,6534.08,1.86349,2.98249,2.5109,0.50478,0.44002,0.45805,0.31423,2.30445,5.97253,3.13127,0.000351056,0.000351056,0.000351056
33,6736.31,1.9529,2.81988,2.48771,0.5319,0.51634,0.4955,0.32493,2.4557,5.49342,3.22445,0.000333058,0.000333058,0.000333058
